0,8Il6980di8P89lil1PDIqqIbiq1QO8lQ,3,7,9,11,-1,7,9,11,-1,MAKE IT BETTER,mitsu-O!
1,06loOQ0DQb0DqbOibl6qO81qlIdoP9DI,4,8,9,11,-1,8,13,11,-1,PARANOiA,180
2,Pb9II0oiI9ODQ8OP8IqIPQP9P68biqIi,3,8,9,10,-1,9,10,10,-1,TRIP MACHINE,DE-SIRE
3,dq190Il9iO1bD698ll6ddObIlqdIQ1O9,3,7,8,11,-1,8,9,10,-1,AM-3P,KTz
4,DblIbDd6lQQQoO9bloOI9iIqO1IiQoID,3,6,6,10,10,6,7,9,10,BRILLIANT 2U,NAOKI
5,DbPodlqiOQdD88bo8lPO9D6iql1DO8P0,4,6,8,9,12,6,8,9,12,BRILLIANT 2U(Orchestra Groove),NAOKI
6,8liDbidQoI6Q01lO9iibIdboIiDl66Qo,2,5,6,8,-1,6,8,11,-1,e-motion,e.o.s
7,Dq0Iio09Pb9iD0lbb0I0qd8Q8i10II09,3,6,8,11,-1,9,11,12,-1,GENOM SCREAMS,L.E.D.LIGHT
8,0lDDIlQ91lq6O16q9QQ681d6Db1l0oOb,4,5,7,9,-1,5,9,10,-1,KEEP ON MOVIN',N.M.R
9,9doPbId8qid9I9l6ooloPQD1lq1Plb6I,4,8,9,11,15,8,10,10,15,PARANOiA KCET ～clean mix～,2MB
10,Pl0dPid9lQDo6PDQDqPboPqO6iIDIqoo,5,9,10,12,-1,10,12,11,-1,PARANOiA MAX～DIRTY MIX～,190
11,DQlQ1DlPbq900oqdOo8l0d6I1lIOl99l,3,5,6,9,-1,6,8,8,-1,PUT YOUR FAITH IN ME,UZI-LAY
12,1P9qQdiiodODqQPl0OO88iiiqdoDIPO6,4,8,9,10,-1,8,9,10,-1,SP-TRIP MACHINE～JUNGLE MIX～,DE-SIRE
13,Pd99DQo0bD9D9oIbPIId18P6l8qlDQO6,5,7,9,13,-1,8,9,13,-1,AFRONOVA,RE-VENGE
14,Qo9P1oOoDQIoOb8Dd0PdOdoD1D1Pbd8D,1,2,6,8,-1,5,6,8,-1,AFTER THE GAME OF LOVE,NPD3
15,di9ddbd1lb80q98ODdod0ODQ0q6PdQP1,3,5,7,10,-1,5,7,10,-1,CUTIE CHASER,CLUB SPICE
16,P98dl8qdoilqbPqIO86ood601o1696D8,4,7,10,12,-1,8,9,13,-1,DEAD END,N & S
17,8O0D9P6l9P9ooQdODioDIdQPq6DiDlbl,3,5,7,10,-1,6,8,10,-1,DROP THE BOMB,Scotty D.
18,1QIPID18qib8D9Oo9lOo8I6DPi9qiod6,3,6,10,12,12,6,7,11,12,DYNAMITE RAVE,NAOKI
19,q6qI6llb69D1IQq0OiP8OD06Qioob91Q,3,8,10,13,-1,9,11,13,-1,GRADIUSIC CYBER ～AMD G5 MIX～,BIG-O feat. TAKA
20,901q61iP6lPiDqIQoQod9PDqlOPq1bb9,4,6,8,10,-1,5,9,13,-1,La Se&ntilde;orita,CAPTAIN.T
21,boP0i08bqQ9d9OoP8Ol6I0l9Po01DiQb,4,8,10,12,-1,9,10,12,-1,La Se&ntilde;orita Virtual,2MB
22,i8II16blIIbQQd196b616OPbPO910oi9,4,9,10,11,-1,10,11,12,-1,LOVE THIS FEELIN',Chang ma
23,0lDP0P06PIPl1iiIDOb919iqo1oPdlP8,4,8,10,13,-1,9,11,13,-1,PARANOiA Rebirth,190'
24,80bQi8IQ8o1iidqd6oQiDPQoPi909olq,3,4,9,10,-1,5,7,11,-1,Silent Hill,THOMAS HOWARD
25,9lob1d1QPd9qiPlQOQ6l0dbodOoDPq1d,3,5,6,9,-1,6,7,10,-1,think ya better D,sAmi
26,qQ9Oo611P0dObD8q6O0Q968bbl8I91OO,3,9,10,12,-1,9,10,11,-1,TRIP MACHINE～luv mix～,2MB
27,IQ0dIiDql9Q68d9ddQIiQbq1OPq8Db69,3,5,8,11,-1,5,8,10,-1,.59,dj TAKA
28,6Qq1q91q8iIPlI89qDq96bO8QDD0qOql,3,5,7,10,-1,5,8,10,-1,B4U,NAOKI
29,P8P1dlqi9D111iIDPOP0l9DIO1l6lqO9,1,2,4,7,-1,3,5,8,-1,BABY BABY GIMME YOUR LOVE,DIVAS
30,ii6Oooool0IoOqi1qdDo96QIil6IoOq0,3,5,8,10,-1,5,7,10,-1,BURNIN' THE FLOOR,NAOKI
31,ioi6db99oOPPDd1db888D6oi6bb06o0P,3,5,6,11,-1,5,6,12,-1,CAN'T STOP FALLIN' IN LOVE,NAOKI
32,i0bdP6II6dqb6lbQQ9q9OQq68i1qPddO,3,6,8,11,-1,6,8,10,-1,CELEBRATE NITE,N.M.R
33,1q6obddbql8lQdPI19liD6PdQ0dPIODd,3,5,6,10,-1,4,5,8,-1,Don't Stop!～AMD 2nd MIX～,Dr.VIBE feat. JP Miles
34,Q0OiPQQ8IbIDq08IO9Io0qDdoDPPdd1q,4,8,10,13,-1,6,9,13,-1,DROP OUT,NW260
35,D81Pq66DQPiQdliqIPl0ioPOi9OlQoQ9,4,5,8,11,-1,5,7,11,-1,era (nostalmix),TaQ
36,O1blDPOQ8IQb00o0D89QIDIlo8b06liD,3,4,7,9,-1,4,7,10,-1,HIGHER,NM feat. SUNNY
37,ODq019O9o1OPdq9PiPl0o8D8DQ8bid88,4,7,9,11,-1,7,8,11,-1,Holic,TaQ
38,8l808Do60DP0qDbD066QQqP1qOQdob90,5,6,8,11,-1,4,8,10,-1,HYSTERIA,NAOKI 190
39,8lDOiqP0biD8dD9lOQO619i1PqbqDiP8,3,8,9,13,-1,7,10,13,-1,LEADING CYBER,dj TAKA
40,boOdPIqbDd8li0O0IqliPo1Doq99Ob09,4,5,8,11,-1,5,7,10,-1,LOVE AGAIN TONIGHT～For Melissa MIX～,NAOKI feat. PAULA TERRY
41,6Ddo196olOPi9IQdbQ8Qbd8do8Q1obOD,3,4,9,12,-1,5,8,11,-1,MY SUMMER LOVE,MITSU-O! with GEILA
42,1d10660Dd0IOibDI890Ild80q6ddoQO8,3,4,7,12,-1,5,8,9,-1,ORION.78(AMeuro-MIX),RE-VENGE
43,DPQo8Q0l9D8IPiDiq11l8OI6i11OOb6O,5,9,10,12,-1,6,10,13,-1,PARANOIA EVOLUTION,200
44,60QoP9DoIo90D616989Q0D0iodOoOd91,3,7,8,11,-1,5,7,10,-1,SEXY PLANET,Crystal Aliens
